Date,Close,High,Low,Open,Volume,RSI,MA20,MACD,BB_high,BB_low,Return_1d,Volume_z,Ticker
2024-06-05,417.449462890625,417.5183569725432,409.8587351784671,411.3453811328119,16988000,55.6213323856406,414.16048736572264,2.0536075968676073,427.8653439379627,400.4556307934826,0.019083457065313336,-0.1708770735706866,MSFT
2024-06-06,417.9515380859375,418.7293231019465,414.0724979392672,417.44944957036887,14861300,56.05661248944366,414.8850570678711,2.2211812798162214,427.75743184179174,402.0126822939505,0.001202720903833221,-0.4644498190111291,MSFT
2024-06-07,417.29193115234375,419.6843254469309,416.45507688003147,419.60557647742206,13621700,55.28936184094586,415.48917999267576,2.274540378252084,427.60005923893976,403.37830074641175,-0.001578189989716261,-0.6135654392418808,MSFT
2024-06-10,421.249755859375,421.45649821147657,417.3313558315188,418.1288206635897,13982900,58.92241185963243,416.1722839355469,2.606149159886627,427.9602849998173,404.38428287127647,0.009484546456725917,-0.5726489116466673,MSFT
2024-06-11,425.98529052734375,426.1231387794062,418.67025946007556,418.89671156901073,14551100,62.81570584548226,417.1422836303711,3.2140203536560534,428.80720223349397,405.4773650272482,0.011241631839780997,-0.4932090825557326,MSFT
2024-06-12,434.23565673828125,436.53944727057524,426.54650007534946,428.5844790234761,22366200,68.42978675374317,418.3852508544922,4.311794572397389,431.6617366282133,405.1087650807711,0.019367725586777906,0.45447848963638804,MSFT
2024-06-13,434.7476501464844,436.52967260389505,432.5718527345657,434.02896428414414,15960600,68.74515092997356,419.2959411621094,5.163579607422946,434.3228413015217,404.2690410226971,0.0011790680941516918,-0.320664278534297,MSFT
2024-06-14,435.7223205566406,436.2835084137765,429.9628289677156,431.4986893853765,13582000,69.3723800141068,420.3582504272461,5.849839828752636,436.808563679727,403.9079371747652,0.002241922204358815,-0.5930000066752742,MSFT
2024-06-17,441.43255615234375,443.96279884211964,433.90092737019853,435.7419888452348,20790000,72.81450725179289,421.74446563720704,6.77636062143165,440.2622196070936,403.2267116673205,0.013105217075884967,0.2830355197712686,MSFT
2024-06-18,439.4339904785156,443.1752129183503,438.00644366410285,442.7518432687409,17112500,69.85538674425155,422.77821960449216,7.265614002154791,442.76405893418377,402.79238027480056,-0.0045274541851834105,-0.18749250302653417,MSFT
2024-06-20,438.80389404296875,439.62103860195157,434.442414629224,439.3945864733692,19877400,68.9046364580595,423.59833068847655,7.51586905484686,444.7662199462316,402.4304414307215,-0.0014338818780512685,0.17301615730393172,MSFT
2024-06-21,442.82073974609375,443.6083496603445,439.60134591371855,440.45787995794916,34187100,71.56187382203545,424.54643096923826,7.946719034785417,447.3141844610558,401.77867747742073,0.009154079436523022,1.725051750225739,MSFT
2024-06-24,440.7433776855469,445.74476346815527,439.50286359400394,442.84039572999666,15913700,68.31073581870137,425.5639404296875,8.028003167687643,449.29677905049607,401.8311018088789,-0.004691203175664294,-0.38678408419003074,MSFT
2024-06-25,443.97265625,444.4353853435752,439.83762902888526,441.3144201727987,16413400,70.55053512550015,426.58735809326174,8.257806369060916,451.6070670541875,401.567649132336,0.007326890721332857,-0.3614588602455455,MSFT
2024-06-26,445.1639099121094,446.5816317625772,441.25533495755695,442.05279974277113,16507000,71.35485968010447,427.66246032714844,8.43877433897677,453.90495279715554,401.41996785714133,0.0026831689865121078,-0.35577824595448093,MSFT
2024-06-27,445.8432312011719,449.1118693221635,444.7799248025884,445.18358463488477,14806300,71.82739747167238,428.82813873291013,8.538580864517257,456.1058246843725,401.55045278144775,0.0015260026114798375,-0.5509769409310696,MSFT
2024-06-28,440.0345458984375,448.3341049043701,439.50289267468526,446.059848949654,28362300,62.35529783254313,430.4171661376953,8.056100188132689,456.38695196282174,404.44738031256884,-0.013028537602970625,1.045063151140275,MSFT
2024-07-01,449.6632080078125,450.2932899171113,438.7644825324962,441.71806471797646,17662800,69.52862929925338,432.46498413085936,8.354379254526407,457.7131520986709,407.21681616304784,0.021881604976526914,-0.05879538348852869,MSFT
2024-07-02,452.1737365722656,452.4789376582484,446.09918938158694,446.18782328625804,13979800,71.0762195795102,434.7175857543945,8.693137163486142,458.5168240922922,410.91834741649683,0.005583130929425639,-0.7218764096486638,MSFT
2024-07-03,453.6406555175781,453.88678735468443,450.79538710423196,451.1005881786126,9932800,71.97196038567655,436.9180053710937,8.976497866559498,459.11706372189025,414.7189470202972,0.00324414893362146,-1.3836259796524557,MSFT
2024-07-05,460.32562255859375,461.10340760685847,451.8685359116121,452.4986178155469,16000300,75.66982031071575,439.0618133544922,9.629481567492121,461.604950230266,416.51867647871836,0.014736260870156004,-0.27536709585367813,MSFT
2024-07-08,459.0260314941406,460.46346308739743,457.2735739768986,459.33123257528905,12962300,73.63587480168914,441.1155380249023,9.927669720431766,463.06792142432215,419.1631546254825,-0.002823199493501405,-0.7981579924513081,MSFT
2024-07-09,452.4297180175781,460.09916463101644,450.91353744838284,459.77428381745585,17207200,64.20286524619678,442.87242736816404,9.521955435055531,462.4082862219472,423.3365685143809,-0.014370238339405983,-0.07253046511900958,MSFT
2024-07-10,459.0359191894531,459.24266153927346,451.76024698147666,454.0837473649462,18196100,68.54836071576045,444.761735534668,9.622566211676087,462.8204051617151,426.7030659076209,0.014601607517785498,0.06916442396890521,MSFT
